quadrant,regime,ticker,beta,avg_ret_pct,n_blocks,rank
RF,리플레이션(실질↑BEI↑),USO,0.28,11.2,14,1
RF,리플레이션(실질↑BEI↑),KRE,0.24,8.6,14,2
RF,리플레이션(실질↑BEI↑),KBE,0.22,8.3,14,3
RF,리플레이션(실질↑BEI↑),FCG,0.19,8.6,14,4
RF,리플레이션(실질↑BEI↑),BETZ,0.17,3.6,9,5
RF,리플레이션(실질↑BEI↑),BLOK,0.17,7.1,11,6
RF,리플레이션(실질↑BEI↑),JETS,0.16,6.7,14,7
RF,리플레이션(실질↑BEI↑),XLF,0.15,6.4,14,8
RF,리플레이션(실질↑BEI↑),OIH,0.15,7.6,14,9
RF,리플레이션(실질↑BEI↑),XLE,0.14,6.8,14,10
RF,리플레이션(실질↑BEI↑),XRT,0.14,5.0,14,11
RF,리플레이션(실질↑BEI↑),PEJ,0.13,5.0,14,12
RF,리플레이션(실질↑BEI↑),FNGS,0.13,6.3,9,13
RF,리플레이션(실질↑BEI↑),QTUM,0.12,5.2,10,14
RF,리플레이션(실질↑BEI↑),XME,0.12,4.3,14,15
RF,리플레이션(실질↑BEI↑),SOXX,0.12,3.6,14,16
RF,리플레이션(실질↑BEI↑),BITO,0.12,5.0,6,17
RF,리플레이션(실질↑BEI↑),IJR,0.11,3.1,14,18
RF,리플레이션(실질↑BEI↑),SKYY,0.1,4.2,14,19
RF,리플레이션(실질↑BEI↑),IWM,0.1,2.7,14,20
RF,리플레이션(실질↑BEI↑),DRIV,0.1,1.3,10,21
RF,리플레이션(실질↑BEI↑),FDN,0.1,4.0,14,22
RF,리플레이션(실질↑BEI↑),IYT,0.1,3.1,14,23
RF,리플레이션(실질↑BEI↑),GRID,0.09,1.7,14,24
RF,리플레이션(실질↑BEI↑),IJH,0.08,2.7,14,25
RF,리플레이션(실질↑BEI↑),XLI,0.08,2.8,14,26
RF,리플레이션(실질↑BEI↑),XLY,0.08,2.6,14,27
RF,리플레이션(실질↑BEI↑),KIE,0.08,3.9,14,28
RF,리플레이션(실질↑BEI↑),IGV,0.07,2.3,14,29
RF,리플레이션(실질↑BEI↑),QQQ,0.07,2.5,14,30
RF,리플레이션(실질↑BEI↑),XLK,0.07,2.3,14,31
RF,리플레이션(실질↑BEI↑),FIW,0.06,1.3,14,32
RF,리플레이션(실질↑BEI↑),SPY,0.06,2.0,14,33
RF,리플레이션(실질↑BEI↑),PBW,0.06,-2.7,14,34
RF,리플레이션(실질↑BEI↑),ITA,0.06,2.1,14,35
RF,리플레이션(실질↑BEI↑),COPX,0.06,2.6,14,36
RF,리플레이션(실질↑BEI↑),XLC,0.06,3.4,10,37
RF,리플레이션(실질↑BEI↑),XLB,0.06,1.0,14,38
RF,리플레이션(실질↑BEI↑),FINX,0.06,0.8,14,39
RF,리플레이션(실질↑BEI↑),ROBO,0.05,-0.1,14,40
RF,리플레이션(실질↑BEI↑),CIBR,0.05,1.9,14,41
RF,리플레이션(실질↑BEI↑),ARTY,0.05,0.7,10,42
RF,리플레이션(실질↑BEI↑),DIA,0.05,1.8,14,43
RF,리플레이션(실질↑BEI↑),XHB,0.03,0.8,14,44
RF,리플레이션(실질↑BEI↑),NLR,0.03,2.9,14,45
RF,리플레이션(실질↑BEI↑),PBJ,0.02,0.0,14,46
RF,리플레이션(실질↑BEI↑),XBI,0.02,-1.4,14,47
RF,리플레이션(실질↑BEI↑),IHI,0.01,-1.7,14,48
RF,리플레이션(실질↑BEI↑),ITB,0.0,-0.4,14,49
RF,리플레이션(실질↑BEI↑),IYZ,0.0,-1.1,14,50
RF,리플레이션(실질↑BEI↑),TAN,-0.01,-6.9,14,51
RF,리플레이션(실질↑BEI↑),XLV,-0.02,-1.5,14,52
RF,리플레이션(실질↑BEI↑),IHE,-0.03,-2.2,14,53
RF,리플레이션(실질↑BEI↑),UNG,-0.03,-3.2,14,54
RF,리플레이션(실질↑BEI↑),XLP,-0.04,-2.6,14,55
RF,리플레이션(실질↑BEI↑),XLU,-0.04,-3.3,14,56
RF,리플레이션(실질↑BEI↑),REZ,-0.07,-4.6,14,57
RF,리플레이션(실질↑BEI↑),XLRE,-0.09,-5.7,14,58
RF,리플레이션(실질↑BEI↑),GLD,-0.1,-3.8,14,59
RF,리플레이션(실질↑BEI↑),RNRG,-0.11,-8.2,14,60
RF,리플레이션(실질↑BEI↑),SRVR,-0.13,-8.3,10,61
RF,리플레이션(실질↑BEI↑),SLV,-0.15,-5.7,14,62
RF,리플레이션(실질↑BEI↑),SIL,-0.22,-10.0,14,63
RF,리플레이션(실질↑BEI↑),GDX,-0.24,-10.3,14,64
ST,스태그·완화기대(실질↓BEI↑),BLOK,0.7,25.0,7,1
ST,스태그·완화기대(실질↓BEI↑),COPX,0.56,20.4,9,2
ST,스태그·완화기대(실질↓BEI↑),SIL,0.54,24.6,9,3
ST,스태그·완화기대(실질↓BEI↑),PBW,0.54,24.4,9,4
ST,스태그·완화기대(실질↓BEI↑),GDX,0.49,22.3,9,5
ST,스태그·완화기대(실질↓BEI↑),TAN,0.48,24.1,9,6
ST,스태그·완화기대(실질↓BEI↑),ARTY,0.46,15.9,7,7
ST,스태그·완화기대(실질↓BEI↑),SOXX,0.44,16.1,9,8
ST,스태그·완화기대(실질↓BEI↑),FNGS,0.44,13.4,6,9
ST,스태그·완화기대(실질↓BEI↑),XME,0.44,16.7,9,10
ST,스태그·완화기대(실질↓BEI↑),QTUM,0.44,16.2,7,11
ST,스태그·완화기대(실질↓BEI↑),DRIV,0.42,14.6,7,12
ST,스태그·완화기대(실질↓BEI↑),SLV,0.38,18.0,9,13
ST,스태그·완화기대(실질↓BEI↑),XLK,0.32,13.6,9,14
ST,스태그·완화기대(실질↓BEI↑),ROBO,0.31,11.0,9,15
ST,스태그·완화기대(실질↓BEI↑),GRID,0.31,11.7,9,16
ST,스태그·완화기대(실질↓BEI↑),QQQ,0.28,12.5,9,17
ST,스태그·완화기대(실질↓BEI↑),NLR,0.28,10.1,9,18
ST,스태그·완화기대(실질↓BEI↑),FINX,0.26,10.4,9,19
ST,스태그·완화기대(실질↓BEI↑),FDN,0.26,11.4,9,20
ST,스태그·완화기대(실질↓BEI↑),SKYY,0.25,12.1,9,21
ST,스태그·완화기대(실질↓BEI↑),CIBR,0.25,11.6,9,22
ST,스태그·완화기대(실질↓BEI↑),XBI,0.23,9.0,9,23
ST,스태그·완화기대(실질↓BEI↑),IGV,0.23,12.1,9,24
ST,스태그·완화기대(실질↓BEI↑),GLD,0.23,11.1,9,25
ST,스태그·완화기대(실질↓BEI↑),RNRG,0.22,8.6,9,26
ST,스태그·완화기대(실질↓BEI↑),SRVR,0.21,8.3,7,27
ST,스태그·완화기대(실질↓BEI↑),XLY,0.2,7.6,9,28
ST,스태그·완화기대(실질↓BEI↑),XLC,0.2,8.9,7,29
ST,스태그·완화기대(실질↓BEI↑),XRT,0.2,8.0,9,30
ST,스태그·완화기대(실질↓BEI↑),IWM,0.19,5.6,9,31
ST,스태그·완화기대(실질↓BEI↑),OIH,0.19,4.7,9,32
ST,스태그·완화기대(실질↓BEI↑),BITO,0.19,1.5,3,33
ST,스태그·완화기대(실질↓BEI↑),SPY,0.18,6.8,9,34
ST,스태그·완화기대(실질↓BEI↑),XHB,0.18,6.8,9,35
ST,스태그·완화기대(실질↓BEI↑),ITA,0.17,3.8,9,36
ST,스태그·완화기대(실질↓BEI↑),BETZ,0.17,3.2,6,37
ST,스태그·완화기대(실질↓BEI↑),ITB,0.16,6.9,9,38
ST,스태그·완화기대(실질↓BEI↑),IJR,0.15,4.1,9,39
ST,스태그·완화기대(실질↓BEI↑),FIW,0.15,5.5,9,40
ST,스태그·완화기대(실질↓BEI↑),XLI,0.14,3.9,9,41
ST,스태그·완화기대(실질↓BEI↑),IJH,0.14,4.1,9,42
ST,스태그·완화기대(실질↓BEI↑),FCG,0.13,5.4,9,43
ST,스태그·완화기대(실질↓BEI↑),PEJ,0.13,1.0,9,44
ST,스태그·완화기대(실질↓BEI↑),USO,0.13,2.1,9,45
ST,스태그·완화기대(실질↓BEI↑),XLB,0.12,4.4,9,46
ST,스태그·완화기대(실질↓BEI↑),XLRE,0.12,3.8,9,47
ST,스태그·완화기대(실질↓BEI↑),IYT,0.12,3.2,9,48
ST,스태그·완화기대(실질↓BEI↑),DIA,0.11,3.5,9,49
ST,스태그·완화기대(실질↓BEI↑),IHI,0.11,5.6,9,50
ST,스태그·완화기대(실질↓BEI↑),IHE,0.11,4.8,9,51
ST,스태그·완화기대(실질↓BEI↑),IYZ,0.11,3.5,9,52
ST,스태그·완화기대(실질↓BEI↑),REZ,0.09,1.6,9,53
ST,스태그·완화기대(실질↓BEI↑),XLV,0.09,4.3,9,54
ST,스태그·완화기대(실질↓BEI↑),XLF,0.08,1.0,9,55
ST,스태그·완화기대(실질↓BEI↑),KRE,0.07,-1.0,9,56
ST,스태그·완화기대(실질↓BEI↑),KBE,0.07,-0.9,9,57
ST,스태그·완화기대(실질↓BEI↑),XLU,0.06,2.3,9,58
ST,스태그·완화기대(실질↓BEI↑),PBJ,0.06,2.0,9,59
ST,스태그·완화기대(실질↓BEI↑),JETS,0.05,-4.6,9,60
ST,스태그·완화기대(실질↓BEI↑),XLE,0.04,0.4,9,61
ST,스태그·완화기대(실질↓BEI↑),XLP,0.03,1.4,9,62
ST,스태그·완화기대(실질↓BEI↑),KIE,0.01,-1.5,9,63
ST,스태그·완화기대(실질↓BEI↑),UNG,-0.14,-5.0,9,64
RC,침체·디스인플레(실질↓BEI↓),GDX,0.26,15.9,10,1
RC,침체·디스인플레(실질↓BEI↓),REZ,0.21,11.3,10,2
RC,침체·디스인플레(실질↓BEI↓),SRVR,0.19,12.2,9,3
RC,침체·디스인플레(실질↓BEI↓),XLRE,0.19,11.1,10,4
RC,침체·디스인플레(실질↓BEI↓),ITB,0.17,12.5,10,5
RC,침체·디스인플레(실질↓BEI↓),SIL,0.17,11.3,10,6
RC,침체·디스인플레(실질↓BEI↓),BETZ,0.16,9.8,7,7
RC,침체·디스인플레(실질↓BEI↓),FNGS,0.14,8.9,7,8
RC,침체·디스인플레(실질↓BEI↓),XLU,0.14,8.0,10,9
RC,침체·디스인플레(실질↓BEI↓),SLV,0.14,9.3,10,10
RC,침체·디스인플레(실질↓BEI↓),BLOK,0.14,10.3,9,11
RC,침체·디스인플레(실질↓BEI↓),XHB,0.13,9.7,10,12
RC,침체·디스인플레(실질↓BEI↓),XLC,0.12,7.1,8,13
RC,침체·디스인플레(실질↓BEI↓),GLD,0.12,7.8,10,14
RC,침체·디스인플레(실질↓BEI↓),XBI,0.12,7.9,10,15
RC,침체·디스인플레(실질↓BEI↓),IHI,0.12,7.5,10,16
RC,침체·디스인플레(실질↓BEI↓),IGV,0.11,7.2,10,17
RC,침체·디스인플레(실질↓BEI↓),RNRG,0.11,7.3,10,18
RC,침체·디스인플레(실질↓BEI↓),FINX,0.11,7.3,10,19
RC,침체·디스인플레(실질↓BEI↓),FDN,0.11,5.8,10,20
RC,침체·디스인플레(실질↓BEI↓),XLP,0.1,5.6,10,21
RC,침체·디스인플레(실질↓BEI↓),XLY,0.1,5.8,10,22
RC,침체·디스인플레(실질↓BEI↓),FIW,0.1,6.8,10,23
RC,침체·디스인플레(실질↓BEI↓),IYZ,0.1,5.3,10,24
RC,침체·디스인플레(실질↓BEI↓),XLK,0.1,6.7,10,25
RC,침체·디스인플레(실질↓BEI↓),QQQ,0.1,6.3,10,26
RC,침체·디스인플레(실질↓BEI↓),QTUM,0.1,7.1,8,27
RC,침체·디스인플레(실질↓BEI↓),SKYY,0.09,5.4,10,28
RC,침체·디스인플레(실질↓BEI↓),ARTY,0.09,6.3,8,29
RC,침체·디스인플레(실질↓BEI↓),GRID,0.08,6.7,10,30
RC,침체·디스인플레(실질↓BEI↓),BITO,0.08,4.2,7,31
RC,침체·디스인플레(실질↓BEI↓),SOXX,0.08,7.2,10,32
RC,침체·디스인플레(실질↓BEI↓),IHE,0.08,3.7,10,33
RC,침체·디스인플레(실질↓BEI↓),XLV,0.07,4.1,10,34
RC,침체·디스인플레(실질↓BEI↓),SPY,0.07,4.7,10,35
RC,침체·디스인플레(실질↓BEI↓),PEJ,0.07,4.4,10,36
RC,침체·디스인플레(실질↓BEI↓),CIBR,0.07,5.2,10,37
RC,침체·디스인플레(실질↓BEI↓),IJR,0.06,3.6,10,38
RC,침체·디스인플레(실질↓BEI↓),TAN,0.06,9.7,10,39
RC,침체·디스인플레(실질↓BEI↓),IWM,0.06,3.8,10,40
RC,침체·디스인플레(실질↓BEI↓),ITA,0.06,5.6,10,41
RC,침체·디스인플레(실질↓BEI↓),ROBO,0.06,4.6,10,42
RC,침체·디스인플레(실질↓BEI↓),PBJ,0.05,3.4,10,43
RC,침체·디스인플레(실질↓BEI↓),DIA,0.05,3.9,10,44
RC,침체·디스인플레(실질↓BEI↓),IJH,0.05,3.5,10,45
RC,침체·디스인플레(실질↓BEI↓),XRT,0.05,1.9,10,46
RC,침체·디스인플레(실질↓BEI↓),JETS,0.04,2.9,10,47
RC,침체·디스인플레(실질↓BEI↓),XLB,0.04,3.6,10,48
RC,침체·디스인플레(실질↓BEI↓),KIE,0.03,3.6,10,49
RC,침체·디스인플레(실질↓BEI↓),IYT,0.03,3.0,10,50
RC,침체·디스인플레(실질↓BEI↓),XLI,0.03,3.8,10,51
RC,침체·디스인플레(실질↓BEI↓),NLR,0.02,0.5,10,52
RC,침체·디스인플레(실질↓BEI↓),PBW,0.01,3.4,10,53
RC,침체·디스인플레(실질↓BEI↓),XLF,0.01,2.8,10,54
RC,침체·디스인플레(실질↓BEI↓),DRIV,0.01,2.0,9,55
RC,침체·디스인플레(실질↓BEI↓),XME,0.0,0.8,10,56
RC,침체·디스인플레(실질↓BEI↓),KBE,-0.01,2.2,10,57
RC,침체·디스인플레(실질↓BEI↓),USO,-0.01,-3.5,10,58
RC,침체·디스인플레(실질↓BEI↓),KRE,-0.03,1.2,10,59
RC,침체·디스인플레(실질↓BEI↓),COPX,-0.05,-1.0,10,60
RC,침체·디스인플레(실질↓BEI↓),XLE,-0.05,-3.6,10,61
RC,침체·디스인플레(실질↓BEI↓),UNG,-0.06,-6.1,10,62
RC,침체·디스인플레(실질↓BEI↓),FCG,-0.09,-8.2,10,63
RC,침체·디스인플레(실질↓BEI↓),OIH,-0.16,-9.3,10,64
TG,긴축·디스인플레(실질↑BEI↓),SOXX,0.16,2.3,10,1
TG,긴축·디스인플레(실질↑BEI↓),IHE,0.15,2.7,10,2
TG,긴축·디스인플레(실질↑BEI↓),SLV,0.15,-0.5,10,3
TG,긴축·디스인플레(실질↑BEI↓),XLV,0.15,2.9,10,4
TG,긴축·디스인플레(실질↑BEI↓),XBI,0.15,-1.1,10,5
TG,긴축·디스인플레(실질↑BEI↓),ITA,0.12,1.5,10,6
TG,긴축·디스인플레(실질↑BEI↓),KIE,0.1,2.4,10,7
TG,긴축·디스인플레(실질↑BEI↓),XLF,0.09,0.7,10,8
TG,긴축·디스인플레(실질↑BEI↓),JETS,0.09,0.8,10,9
TG,긴축·디스인플레(실질↑BEI↓),COPX,0.09,0.0,10,10
TG,긴축·디스인플레(실질↑BEI↓),DIA,0.09,1.3,10,11
TG,긴축·디스인플레(실질↑BEI↓),XLK,0.08,0.7,10,12
TG,긴축·디스인플레(실질↑BEI↓),XLI,0.07,0.2,10,13
TG,긴축·디스인플레(실질↑BEI↓),IHI,0.07,-0.8,10,14
TG,긴축·디스인플레(실질↑BEI↓),QTUM,0.06,-0.7,6,15
TG,긴축·디스인플레(실질↑BEI↓),IYT,0.06,-0.6,10,16
TG,긴축·디스인플레(실질↑BEI↓),GLD,0.05,-0.2,10,17
TG,긴축·디스인플레(실질↑BEI↓),ROBO,0.04,-2.2,10,18
TG,긴축·디스인플레(실질↑BEI↓),QQQ,0.04,-1.2,10,19
TG,긴축·디스인플레(실질↑BEI↓),CIBR,0.04,0.0,10,20
TG,긴축·디스인플레(실질↑BEI↓),XLP,0.04,1.0,10,21
TG,긴축·디스인플레(실질↑BEI↓),SPY,0.04,-0.4,10,22
TG,긴축·디스인플레(실질↑BEI↓),GDX,0.02,-2.5,10,23
TG,긴축·디스인플레(실질↑BEI↓),XLU,0.02,0.1,10,24
TG,긴축·디스인플레(실질↑BEI↓),IGV,0.02,-2.1,10,25
TG,긴축·디스인플레(실질↑BEI↓),KBE,0.01,-1.7,10,26
TG,긴축·디스인플레(실질↑BEI↓),KRE,0.0,-2.0,10,27
TG,긴축·디스인플레(실질↑BEI↓),RNRG,-0.01,-2.5,10,28
TG,긴축·디스인플레(실질↑BEI↓),IJH,-0.01,-2.1,10,29
TG,긴축·디스인플레(실질↑BEI↓),XLB,-0.01,-1.5,10,30
TG,긴축·디스인플레(실질↑BEI↓),XME,-0.01,-2.8,10,31
TG,긴축·디스인플레(실질↑BEI↓),TAN,-0.01,-4.6,10,32
TG,긴축·디스인플레(실질↑BEI↓),ARTY,-0.02,-3.9,8,33
TG,긴축·디스인플레(실질↑BEI↓),FIW,-0.02,-2.9,10,34
TG,긴축·디스인플레(실질↑BEI↓),GRID,-0.02,-2.6,10,35
TG,긴축·디스인플레(실질↑BEI↓),IJR,-0.02,-2.6,10,36
TG,긴축·디스인플레(실질↑BEI↓),SIL,-0.02,-4.6,10,37
TG,긴축·디스인플레(실질↑BEI↓),SKYY,-0.02,-3.6,10,38
TG,긴축·디스인플레(실질↑BEI↓),IWM,-0.03,-3.2,10,39
TG,긴축·디스인플레(실질↑BEI↓),REZ,-0.04,-2.7,10,40
TG,긴축·디스인플레(실질↑BEI↓),XLY,-0.04,-3.8,10,41
TG,긴축·디스인플레(실질↑BEI↓),DRIV,-0.04,-4.4,8,42
TG,긴축·디스인플레(실질↑BEI↓),ITB,-0.04,-3.7,10,43
TG,긴축·디스인플레(실질↑BEI↓),PBW,-0.05,-7.5,10,44
TG,긴축·디스인플레(실질↑BEI↓),XHB,-0.05,-3.7,10,45
TG,긴축·디스인플레(실질↑BEI↓),XLE,-0.06,0.1,10,46
TG,긴축·디스인플레(실질↑BEI↓),NLR,-0.06,-3.6,10,47
TG,긴축·디스인플레(실질↑BEI↓),PEJ,-0.06,-3.7,10,48
TG,긴축·디스인플레(실질↑BEI↓),IYZ,-0.07,-3.8,10,49
TG,긴축·디스인플레(실질↑BEI↓),XLRE,-0.07,-3.4,10,50
TG,긴축·디스인플레(실질↑BEI↓),PBJ,-0.07,-1.8,10,51
TG,긴축·디스인플레(실질↑BEI↓),FINX,-0.08,-6.8,10,52
TG,긴축·디스인플레(실질↑BEI↓),FDN,-0.08,-5.9,10,53
TG,긴축·디스인플레(실질↑BEI↓),FNGS,-0.12,-7.3,6,54
TG,긴축·디스인플레(실질↑BEI↓),OIH,-0.14,-4.8,10,55
TG,긴축·디스인플레(실질↑BEI↓),XRT,-0.14,-6.6,10,56
TG,긴축·디스인플레(실질↑BEI↓),XLC,-0.15,-7.6,8,57
TG,긴축·디스인플레(실질↑BEI↓),UNG,-0.16,0.2,10,58
TG,긴축·디스인플레(실질↑BEI↓),SRVR,-0.16,-6.9,8,59
TG,긴축·디스인플레(실질↑BEI↓),FCG,-0.18,-3.3,10,60
TG,긴축·디스인플레(실질↑BEI↓),USO,-0.19,-3.8,10,61
TG,긴축·디스인플레(실질↑BEI↓),BETZ,-0.21,-11.2,6,62
TG,긴축·디스인플레(실질↑BEI↓),BLOK,-0.21,-13.5,8,63
TG,긴축·디스인플레(실질↑BEI↓),BITO,-0.48,-22.9,6,64
