date,eq_long,eq_A,eq_Btilt,eq_shortAll,eq_bench
2021-08-31,0.9866,0.9899,0.9919,1.0032,0.9886
2021-09-15,0.9853,0.9984,0.9934,1.0132,0.9765
2021-09-29,0.9998,1.0159,1.0037,1.0161,0.9769
2021-10-13,1.0177,0.9988,1.0075,0.9808,1.0021
2021-10-27,1.0389,0.9863,1.0111,0.9481,1.0273
2021-11-10,1.0647,1.0307,1.0367,0.9673,1.0266
2021-11-24,1.0501,1.0290,1.0320,0.9789,1.0141
2021-12-09,1.0669,1.0265,1.0381,0.9609,1.0270
2021-12-23,1.0572,0.9775,1.0194,0.9238,1.0382
2022-01-07,1.0205,1.0099,1.0140,0.9864,0.9888
2022-01-24,1.0498,1.0275,1.0287,0.9753,0.9987
2022-02-07,1.0268,1.0364,1.0212,1.0051,0.9719
2022-02-22,0.9926,1.0323,1.0077,1.0346,0.9459
2022-03-08,1.0185,0.9256,0.9848,0.9006,1.0133
2022-03-22,1.0293,0.9530,0.9928,0.9177,1.0102
2022-04-05,1.0297,0.9391,0.9865,0.9041,1.0243
2022-04-20,0.9903,0.9151,0.9609,0.9155,0.9879
2022-05-04,0.9208,0.9506,0.9512,1.0152,0.9099
2022-05-18,0.9600,0.9146,0.9564,0.9336,0.9650
2022-06-02,0.8331,0.9302,0.9117,1.0729,0.8401
2022-06-16,0.8713,0.9420,0.9303,1.0374,0.8774
2022-07-01,0.8596,0.9089,0.9178,1.0148,0.8734
2022-07-18,0.9140,0.8983,0.9392,0.9388,0.9398
2022-08-01,0.9667,0.9073,0.9627,0.8941,0.9804
2022-08-15,0.9024,0.8887,0.9321,0.9352,0.9262
2022-08-29,0.8909,0.8944,0.9307,0.9532,0.9123
2022-09-13,0.8165,0.9048,0.9076,1.0438,0.8299
2022-09-27,0.8305,0.9044,0.9191,1.0255,0.8329
2022-10-11,0.8800,0.9027,0.9410,0.9624,0.8863
2022-10-25,0.9025,0.9169,0.9517,0.9530,0.9026
2022-11-08,0.9363,0.8997,0.9599,0.8994,0.9456
2022-11-22,0.9260,0.9042,0.9571,0.9138,0.9312
2022-12-07,0.9194,0.9127,0.9571,0.9290,0.9186
2022-12-21,0.9395,0.9054,0.9579,0.9011,0.9402
2023-01-06,0.9730,0.8920,0.9689,0.8557,0.9667
2023-01-23,1.0065,0.9216,0.9899,0.8546,0.9833
2023-02-06,0.9593,0.8892,0.9587,0.8646,0.9558
2023-02-21,0.9605,0.9021,0.9652,0.8761,0.9452
2023-03-07,0.9355,0.9351,0.9577,0.9310,0.9156
2023-03-21,0.9552,0.9757,0.9668,0.9518,0.9264
2023-04-04,0.9613,0.9477,0.9647,0.9183,0.9419
2023-04-19,0.9381,0.9653,0.9517,0.9576,0.9157
2023-05-03,0.9311,0.9422,0.9426,0.9418,0.9168
2023-05-17,0.9328,0.9502,0.9489,0.9482,0.9058
2023-06-01,0.9933,0.9528,0.9748,0.8892,0.9588
2023-06-15,1.0022,0.9567,0.9785,0.8849,0.9669
2023-06-30,1.0199,0.9596,0.9869,0.8719,0.9837
2023-07-17,1.0307,0.9393,0.9831,0.8443,1.0000
2023-07-31,1.0019,0.9325,0.9722,0.8617,0.9770
2023-08-14,0.9815,0.9340,0.9643,0.8806,0.9571
2023-08-28,0.9837,0.9428,0.9699,0.8870,0.9511
2023-09-12,0.9413,0.9522,0.9563,0.9340,0.9118
2023-09-26,0.9453,0.9539,0.9615,0.9318,0.9186
2023-10-10,0.9195,0.9629,0.9553,0.9660,0.8858
2023-10-24,0.9335,0.9507,0.9587,0.9391,0.9079
2023-11-07,0.9670,0.9424,0.9709,0.8972,0.9409
2023-11-21,0.9968,0.9601,0.9868,0.8863,0.9632
2023-12-06,1.0561,0.9827,1.0173,0.8546,1.0009
2023-12-20,1.0441,0.9539,1.0005,0.8391,1.0081
2024-01-05,1.0366,0.9258,0.9930,0.8204,1.0148
2024-01-22,1.0511,0.9454,1.0016,0.8263,1.0150
2024-02-05,1.0576,0.9330,1.0016,0.8104,1.0320
2024-02-20,1.0839,0.9403,1.0158,0.7966,1.0551
2024-03-05,1.0827,0.9143,1.0091,0.7755,1.0714
2024-03-19,1.1114,0.9340,1.0237,0.7717,1.0836
2024-04-03,1.0652,0.9454,1.0084,0.8131,1.0331
2024-04-17,1.0728,0.9469,1.0133,0.8085,1.0408
2024-05-01,1.1207,0.9390,1.0302,0.7657,1.0878
2024-05-15,1.1002,0.9549,1.0276,0.7927,1.0567
2024-05-30,1.1229,0.9706,1.0404,0.7894,1.0647
2024-06-13,1.1086,0.9518,1.0319,0.7842,1.0659
2024-06-28,1.1393,0.9582,1.0458,0.7677,1.0935
2024-07-15,1.1456,0.9531,1.0443,0.7594,1.1020
2024-07-29,1.1054,0.9493,1.0356,0.7830,1.0754
2024-08-12,1.1457,0.9186,1.0370,0.7292,1.1299
2024-08-26,1.1347,0.9474,1.0445,0.7590,1.1132
2024-09-10,1.1668,0.9089,1.0448,0.7067,1.1566
2024-09-24,1.1741,0.9176,1.0531,0.7090,1.1533
2024-10-08,1.1798,0.9116,1.0532,0.7009,1.1651
2024-10-22,1.1760,0.9070,1.0515,0.6996,1.1600
2024-11-05,1.2169,0.9616,1.0840,0.7174,1.1721
2024-11-19,1.2496,0.9529,1.0924,0.6917,1.2050
2024-12-04,1.1640,0.9466,1.0608,0.7345,1.1302
2024-12-18,1.1698,0.9329,1.0607,0.7202,1.1424
2025-01-03,1.2001,0.9139,1.0640,0.6869,1.1799
2025-01-21,1.1723,0.8951,1.0507,0.6887,1.1692
2025-02-04,1.1779,0.8692,1.0431,0.6654,1.1844
2025-02-19,1.1239,0.8498,1.0148,0.6811,1.1480
2025-03-05,1.1114,0.8454,1.0080,0.6852,1.1359
2025-03-19,1.1218,0.8567,1.0142,0.6879,1.1380
2025-04-02,1.0545,0.8950,1.0071,0.7600,1.0491
2025-04-16,1.0776,0.8528,1.0021,0.7075,1.0994
2025-05-01,1.1274,0.8372,1.0165,0.6618,1.1599
2025-05-15,1.1020,0.8099,0.9972,0.6551,1.1477
2025-05-30,1.1155,0.8061,0.9983,0.6440,1.1530
2025-06-13,1.1342,0.7934,1.0018,0.6231,1.1854
2025-06-30,1.1584,0.8262,1.0232,0.6355,1.1863
2025-07-15,1.1908,0.8380,1.0417,0.6268,1.2139
2025-07-29,1.1789,0.8367,1.0335,0.6321,1.2043
2025-08-12,1.1868,0.8092,1.0254,0.6071,1.2255
2025-08-26,1.1974,0.8243,1.0344,0.6130,1.2186
2025-09-10,1.2226,0.8371,1.0482,0.6097,1.2274
2025-09-24,1.2494,0.8483,1.0601,0.6045,1.2419
2025-10-08,1.2224,0.8264,1.0401,0.6019,1.2352
2025-10-22,1.2139,0.8367,1.0401,0.6136,1.2168
2025-11-05,1.1936,0.8477,1.0390,0.6320,1.1972
2025-11-19,1.2302,0.8192,1.0393,0.5913,1.2445
2025-12-04,1.2432,0.8344,1.0493,0.5960,1.2471
2025-12-18,1.2697,0.8369,1.0584,0.5851,1.2668
2026-01-05,1.2935,0.8634,1.0750,0.5927,1.2746
2026-01-20,1.3352,0.9157,1.1044,0.6094,1.2873
2026-02-03,1.3888,0.9629,1.1350,0.6164,1.3157
2026-02-18,1.3711,0.9249,1.1203,0.6000,1.3127
2026-03-04,1.3177,0.9390,1.1112,0.6324,1.2475
2026-03-18,1.3005,0.9143,1.1009,0.6241,1.2467
2026-04-01,1.3604,0.9135,1.1217,0.5948,1.2997
2026-04-16,1.4124,0.9550,1.1561,0.5991,1.3137
2026-04-30,1.4955,1.0349,1.2098,0.6140,1.3096
2026-05-14,1.5375,1.0143,1.2184,0.5845,1.3399
2026-05-29,1.5343,1.0053,1.2089,0.5805,1.3575
2026-06-12,1.5685,1.0407,1.2289,0.5880,1.3661
2026-06-29,1.5128,0.9618,1.1844,0.5643,1.3734
